,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
109531,C545650,40001,WHITE BAMBOO RIBS LAMPSHADE,-1,3/4/2011 13:14,0.64,15311.0,United Kingdom
109532,C545650,22778,GLASS CLOCHE SMALL,-6,3/4/2011 13:14,3.39,15311.0,United Kingdom
110142,C545671,22423,REGENCY CAKESTAND 3 TIER,-7,3/6/2011 10:08,10.95,15465.0,United Kingdom
110143,C545672,22784,LANTERN CREAM GAZEBO ,-1,3/6/2011 10:13,4.95,15304.0,United Kingdom
110144,C545673,22808,SET OF 6 T-LIGHTS EASTER CHICKS,-18,3/6/2011 10:14,2.95,14745.0,United Kingdom
110145,C545674,22666,RECIPE BOX PANTRY YELLOW DESIGN,-1,3/6/2011 10:25,2.95,18223.0,United Kingdom
110146,C545674,22892,SET OF SALT AND PEPPER TOADSTOOLS,-1,3/6/2011 10:25,1.25,18223.0,United Kingdom
110147,C545674,85099C,JUMBO  BAG BAROQUE BLACK WHITE,-1,3/6/2011 10:25,1.95,18223.0,United Kingdom
110155,C545677,M,Manual,-2,3/6/2011 10:48,10.65,14543.0,United Kingdom
110156,C545677,M,Manual,-1,3/6/2011 10:48,12.75,14543.0,United Kingdom
110157,C545677,21258,VICTORIAN SEWING BOX LARGE,-4,3/6/2011 10:48,12.75,14543.0,United Kingdom
110158,C545677,22207,FRYING PAN UNION FLAG,-1,3/6/2011 10:48,4.25,14543.0,United Kingdom
110159,C545677,22625,RED KITCHEN SCALES,-2,3/6/2011 10:48,7.65,14543.0,United Kingdom
110160,C545677,22627,MINT KITCHEN SCALES,-1,3/6/2011 10:48,7.65,14543.0,United Kingdom
110161,C545677,22624,IVORY KITCHEN SCALES,-4,3/6/2011 10:48,7.65,14543.0,United Kingdom
110162,C545677,21528,DAIRY MAID TRADITIONAL TEAPOT ,-2,3/6/2011 10:48,5.95,14543.0,United Kingdom
110163,C545677,21534,DAIRY MAID LARGE MILK JUG,-1,3/6/2011 10:48,4.95,14543.0,United Kingdom
110164,C545677,21781,MA CAMPAGNE CUTLERY BOX,-7,3/6/2011 10:48,12.75,14543.0,United Kingdom
110165,C545677,21843,RED RETROSPOT CAKE STAND,-1,3/6/2011 10:48,9.95,14543.0,United Kingdom
110166,C545678,22098,BOUDOIR SQUARE TISSUE BOX,-1,3/6/2011 10:49,1.25,16678.0,United Kingdom
110167,C545678,84978,HANGING HEART JAR T-LIGHT HOLDER,-1,3/6/2011 10:49,1.25,16678.0,United Kingdom
110168,C545679,22494,EMERGENCY FIRST AID TIN ,-1,3/6/2011 11:07,1.25,16923.0,United Kingdom
110524,C545689,84849D,HOT BATHS SOAP HOLDER,-1,3/6/2011 12:43,1.69,16033.0,United Kingdom
110525,C545689,21658,GLASS  BEURRE DISH,-1,3/6/2011 12:43,3.95,16033.0,United Kingdom
111458,C545720,15056N,EDWARDIAN PARASOL NATURAL,-1,3/7/2011 10:33,5.95,15039.0,United Kingdom
111459,C545720,22797,CHEST OF DRAWERS GINGHAM HEART ,-1,3/7/2011 10:33,16.95,15039.0,United Kingdom
111504,C545723,22357,KINGS CHOICE BISCUIT TIN,-2,3/7/2011 11:16,4.25,17048.0,United Kingdom
111505,C545723,23182,TOILET SIGN OCCUPIED OR VACANT,-1,3/7/2011 11:16,0.83,17048.0,United Kingdom
111506,C545723,22960,JAM MAKING SET WITH JARS,-1,3/7/2011 11:16,4.25,17048.0,United Kingdom
111507,C545724,22697,GREEN REGENCY TEACUP AND SAUCER,-2,3/7/2011 11:18,2.95,14051.0,United Kingdom
111508,C545724,22423,REGENCY CAKESTAND 3 TIER,-8,3/7/2011 11:18,12.75,14051.0,United Kingdom
111514,C545728,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-1,3/7/2011 11:41,8.5,12484.0,Spain
111515,C545728,22423,REGENCY CAKESTAND 3 TIER,-2,3/7/2011 11:41,12.75,12484.0,Spain
111516,C545728,21232,STRAWBERRY CERAMIC TRINKET BOX,-2,3/7/2011 11:41,1.25,12484.0,Spain
111519,C545739,M,Manual,-1,3/7/2011 11:46,45.57,12754.0,Japan
111520,C545740,POST,POSTAGE,-1,3/7/2011 11:47,8.65,18257.0,United Kingdom
111576,C545769,21899,"KEY FOB , GARAGE DESIGN",-18,3/7/2011 12:05,0.65,14903.0,United Kingdom
111577,C545773,22429,ENAMEL MEASURING JUG CREAM,-1,3/7/2011 12:06,4.25,17139.0,United Kingdom
111578,C545773,21843,RED RETROSPOT CAKE STAND,-1,3/7/2011 12:06,10.95,17139.0,United Kingdom
111732,C545823,21314,SMALL GLASS HEART TRINKET POT,-3,3/7/2011 12:54,2.1,13884.0,United Kingdom
111733,C545824,22654,DELUXE SEWING KIT ,-3,3/7/2011 13:00,5.95,15241.0,United Kingdom
111734,C545825,22064,PINK DOUGHNUT TRINKET POT ,-2,3/7/2011 13:01,1.65,12839.0,United Kingdom
111760,C545828,22697,GREEN REGENCY TEACUP AND SAUCER,-1,3/7/2011 13:05,2.95,15189.0,United Kingdom
111761,C545828,84978,HANGING HEART JAR T-LIGHT HOLDER,-1,3/7/2011 13:05,1.25,15189.0,United Kingdom
111762,C545828,22423,REGENCY CAKESTAND 3 TIER,-6,3/7/2011 13:05,10.95,15189.0,United Kingdom
111763,C545829,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,-12,3/7/2011 13:08,1.25,15290.0,United Kingdom
111764,C545829,84378,SET OF 3 HEART COOKIE CUTTERS,-24,3/7/2011 13:08,1.25,15290.0,United Kingdom
111816,C545831,22156,HEART DECORATION WITH PEARLS ,-5,3/7/2011 13:10,0.85,15194.0,United Kingdom
111817,C545831,22666,RECIPE BOX PANTRY YELLOW DESIGN,-2,3/7/2011 13:10,2.95,15194.0,United Kingdom
111820,C545833,22507,MEMO BOARD RETROSPOT  DESIGN,-1,3/7/2011 13:14,4.25,16013.0,United Kingdom
111821,C545833,22178,VICTORIAN GLASS HANGING T-LIGHT,-3,3/7/2011 13:14,1.06,16013.0,United Kingdom
111822,C545833,22158,3 HEARTS HANGING DECORATION RUSTIC,-5,3/7/2011 13:14,2.55,16013.0,United Kingdom
111823,C545833,85053,FRENCH ENAMEL CANDLEHOLDER,-3,3/7/2011 13:14,1.69,16013.0,United Kingdom
111824,C545834,21844,RED RETROSPOT MUG,-1,3/7/2011 13:16,2.95,13458.0,United Kingdom
111847,C545836,21067,VINTAGE RED TEATIME MUG,-1,3/7/2011 13:19,1.25,14606.0,United Kingdom
111848,C545836,21630,FLOOR CUSHION ELEPHANT CARNIVAL,-1,3/7/2011 13:19,8.95,14606.0,United Kingdom
111849,C545836,21789,KIDS RAIN MAC PINK,-1,3/7/2011 13:19,0.85,14606.0,United Kingdom
111850,C545837,22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,-24,3/7/2011 13:32,0.85,12598.0,France
111891,C545839,22192,BLUE DINER WALL CLOCK,-1,3/7/2011 13:33,8.5,15110.0,United Kingdom
111892,C545840,22423,REGENCY CAKESTAND 3 TIER,-5,3/7/2011 13:35,10.95,13089.0,United Kingdom
111893,C545841,22729,ALARM CLOCK BAKELIKE ORANGE,-2,3/7/2011 13:36,3.75,17675.0,United Kingdom
111894,C545841,22728,ALARM CLOCK BAKELIKE PINK,-1,3/7/2011 13:36,3.75,17675.0,United Kingdom
111895,C545841,22727,ALARM CLOCK BAKELIKE RED ,-3,3/7/2011 13:36,3.75,17675.0,United Kingdom
111926,C545843,22456,NATURAL SLATE CHALKBOARD LARGE ,-1,3/7/2011 13:37,4.95,12921.0,United Kingdom
111927,C545843,22423,REGENCY CAKESTAND 3 TIER,-1,3/7/2011 13:37,12.75,12921.0,United Kingdom
111940,C545844,22926,IVORY GIANT GARDEN THERMOMETER,-1,3/7/2011 13:38,5.95,16838.0,United Kingdom
111941,C545846,22236,CAKE STAND 3 TIER MAGIC GARDEN,-1,3/7/2011 13:39,12.75,13081.0,United Kingdom
111942,C545847,23005,TRAVEL CARD WALLET I LOVE LONDON,-1,3/7/2011 13:40,0.42,15903.0,United Kingdom
111943,C545848,22776,SWEETHEART CAKESTAND 3 TIER,-3,3/7/2011 13:41,8.5,17672.0,United Kingdom
111944,C545849,72741,GRAND CHOCOLATECANDLE,-3,3/7/2011 13:42,1.45,16598.0,United Kingdom
111965,C545850,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,3/7/2011 13:45,7.95,15811.0,United Kingdom
111966,C545850,21528,DAIRY MAID TRADITIONAL TEAPOT ,-3,3/7/2011 13:45,6.95,15811.0,United Kingdom
111967,C545852,22804,CANDLEHOLDER PINK HANGING HEART,-1,3/7/2011 13:49,2.95,14048.0,United Kingdom
111968,C545852,22464,HANGING METAL HEART LANTERN,-5,3/7/2011 13:49,1.65,14048.0,United Kingdom
111969,C545852,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-8,3/7/2011 13:49,2.95,14048.0,United Kingdom
112036,545857,20681,MIA,-154,3/7/2011 13:56,0.0,,United Kingdom
112062,C545866,21424,WOODLAND STORAGE BOX LARGE ,-1,3/7/2011 14:27,2.95,17841.0,United Kingdom
112063,C545866,21426,WOODLAND STORAGE BOX SMALL,-2,3/7/2011 14:27,2.1,17841.0,United Kingdom
112064,C545866,21427,SKULLS STORAGE BOX SMALL,-1,3/7/2011 14:27,2.1,17841.0,United Kingdom
112065,C545867,21424,WOODLAND STORAGE BOX LARGE ,-1,3/7/2011 14:29,2.95,17841.0,United Kingdom
112229,C545884,M,Manual,-1,3/7/2011 15:49,537.83,,United Kingdom
112230,C545885,22667,RECIPE BOX RETROSPOT ,-1,3/7/2011 15:52,2.95,15827.0,United Kingdom
112231,C545885,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,3/7/2011 15:52,4.95,15827.0,United Kingdom
112232,C545886,M,Manual,-1,3/7/2011 15:53,222.59,,United Kingdom
112233,C545887,BANK CHARGES,Bank Charges,-1,3/7/2011 15:54,326.68,,United Kingdom
112245,C545891,M,Manual,-1,3/7/2011 16:40,16.05,12754.0,Japan
112246,C545892,M,Manual,-1,3/7/2011 16:41,17.55,12755.0,Japan
112942,C545903,21931,JUMBO STORAGE BAG SUKI,-1,3/8/2011 8:34,1.95,13345.0,United Kingdom
112943,C545903,22634,CHILDS BREAKFAST SET SPACEBOY ,-1,3/8/2011 8:34,9.95,13345.0,United Kingdom
113580,545990,84598,check,-3000,3/8/2011 13:07,0.0,,United Kingdom
113839,C545997,21156,RETROSPOT CHILDRENS APRON,-6,3/8/2011 14:35,1.95,12679.0,France
113840,C545997,22367,CHILDRENS APRON SPACEBOY DESIGN,-8,3/8/2011 14:35,1.95,12679.0,France
113841,C545997,22634,CHILDS BREAKFAST SET SPACEBOY ,-1,3/8/2011 14:35,9.95,12679.0,France
114428,546010,22423,damages,-19,3/8/2011 15:55,0.0,,United Kingdom
114493,546016,85172,Dotcom set,-675,3/8/2011 17:21,0.0,,United Kingdom
114522,546018,85172,wrongly sold as sets,-600,3/8/2011 17:23,0.0,,United Kingdom
114534,546020,85175,Amazon sold sets,-210,3/8/2011 17:27,0.0,,United Kingdom
114535,546021,85175,dotcom sold sets,-345,3/8/2011 17:27,0.0,,United Kingdom
114536,C546022,23187,FRENCH STYLE STORAGE JAR BONBONS,-6,3/8/2011 17:28,1.25,14507.0,United Kingdom
114537,C546022,23186,FRENCH STYLE STORAGE JAR CAFE ,-6,3/8/2011 17:28,1.25,14507.0,United Kingdom
114538,546023,85175,wrongly sold sets,-975,3/8/2011 17:29,0.0,,United Kingdom
114539,546024,85175,? sold as sets?,-1200,3/8/2011 17:31,0.0,,United Kingdom
114540,546025,85172,?sold as sets?,-600,3/8/2011 17:31,0.0,,United Kingdom
114742,C546080,22423,REGENCY CAKESTAND 3 TIER,-1,3/9/2011 11:18,12.75,15078.0,United Kingdom
114743,C546081,85116,BLACK CANDELABRA T-LIGHT HOLDER,-6,3/9/2011 11:23,2.1,15974.0,United Kingdom
115091,C546106,D,Discount,-1,3/9/2011 12:21,9.87,14527.0,United Kingdom
115488,546124,35610C,Thrown away.,-1121,3/9/2011 14:50,0.0,,United Kingdom
115489,546126,35611B,thrown away,-27,3/9/2011 14:52,0.0,,United Kingdom
115490,C546125,22697,GREEN REGENCY TEACUP AND SAUCER,-6,3/9/2011 14:52,2.95,16316.0,United Kingdom
115501,C546128,22726,ALARM CLOCK BAKELIKE GREEN,-1,3/9/2011 15:05,3.75,15622.0,United Kingdom
115502,C546128,22842,BISCUIT TIN VINTAGE RED,-1,3/9/2011 15:05,6.75,15622.0,United Kingdom
115503,C546128,22840,ROUND CAKE TIN VINTAGE RED,-1,3/9/2011 15:05,7.95,15622.0,United Kingdom
115504,546129,35610B,thrown away,-541,3/9/2011 15:07,0.0,,United Kingdom
115505,546130,35610A,thrown away,-1277,3/9/2011 15:08,0.0,,United Kingdom
115506,C546131,22978,PANTRY ROLLING PIN,-6,3/9/2011 15:08,3.75,16057.0,United Kingdom
115507,C546131,22841,ROUND CAKE TIN VINTAGE GREEN,-1,3/9/2011 15:08,7.95,16057.0,United Kingdom
115508,C546131,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,3/9/2011 15:08,4.95,16057.0,United Kingdom
115509,C546131,22072,RED RETROSPOT TEA CUP AND SAUCER ,-1,3/9/2011 15:08,3.75,16057.0,United Kingdom
115510,C546131,21539,RED RETROSPOT BUTTER DISH,-1,3/9/2011 15:08,4.95,16057.0,United Kingdom
115511,C546131,21531,RED RETROSPOT SUGAR JAM BOWL,-1,3/9/2011 15:08,2.55,16057.0,United Kingdom
115512,C546131,21218,RED SPOTTY BISCUIT TIN,-1,3/9/2011 15:08,3.75,16057.0,United Kingdom
115513,C546131,22776,SWEETHEART CAKESTAND 3 TIER,-1,3/9/2011 15:08,9.95,16057.0,United Kingdom
115805,546137,20893,damages/display,-197,3/9/2011 16:33,0.0,,United Kingdom
115806,546138,21815,?,-300,3/9/2011 16:34,0.0,,United Kingdom
115808,546140,21527,damages,-30,3/9/2011 16:35,0.0,,United Kingdom
115810,546142,40016,damaged stock,-1100,3/9/2011 16:37,0.0,,United Kingdom
115811,546145,21537,?,-80,3/9/2011 16:39,0.0,,United Kingdom
115812,546146,20752,,-40,3/9/2011 16:41,0.0,,United Kingdom
115813,546147,21320,broken,-63,3/9/2011 16:42,0.0,,United Kingdom
115814,546148,85049D,?,-100,3/9/2011 16:43,0.0,,United Kingdom
115815,546149,20866,?,-230,3/9/2011 17:02,0.0,,United Kingdom
115816,546150,21503,,-140,3/9/2011 17:03,0.0,,United Kingdom
115817,546151,21504,,-80,3/9/2011 17:04,0.0,,United Kingdom
115818,546152,72140F,throw away,-5368,3/9/2011 17:25,0.0,,United Kingdom
115928,C546162,85178,VICTORIAN SEWING KIT,-144,3/10/2011 9:53,1.25,17404.0,Sweden
115970,C546167,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,3/10/2011 10:13,7.95,15611.0,United Kingdom
115971,C546168,47567B,TEA TIME KITCHEN APRON,-3,3/10/2011 10:22,5.95,16670.0,United Kingdom
115972,C546168,22892,SET OF SALT AND PEPPER TOADSTOOLS,-12,3/10/2011 10:22,1.25,16670.0,United Kingdom
115975,C546170,21713,CITRONELLA CANDLE FLOWERPOT,-5,3/10/2011 10:29,1.85,15034.0,United Kingdom
116011,C546173,22488,NATURAL SLATE RECTANGLE CHALKBOARD,-1,3/10/2011 10:34,1.65,14227.0,United Kingdom
116012,C546173,21231,SWEETHEART CERAMIC TRINKET BOX,-1,3/10/2011 10:34,1.25,14227.0,United Kingdom
116013,C546174,22791,T-LIGHT GLASS FLUTED ANTIQUE,-3,3/10/2011 10:38,1.06,13094.0,United Kingdom
116064,C546191,47566B,TEA TIME PARTY BUNTING,-35,3/10/2011 10:57,0.7,16422.0,United Kingdom
116065,C546203,22915,ASSORTED BOTTLE TOP  MAGNETS ,-12,3/10/2011 11:13,0.42,16839.0,United Kingdom
116066,C546203,POST,POSTAGE,-1,3/10/2011 11:13,4.5,16839.0,United Kingdom
116067,C546204,POST,POSTAGE,-1,3/10/2011 11:13,1.72,13599.0,United Kingdom
116068,C546204,23006,TRAVEL CARD WALLET FLOWER MEADOW,-24,3/10/2011 11:13,0.42,13599.0,United Kingdom
116069,C546205,POST,POSTAGE,-1,3/10/2011 11:14,2.84,18223.0,United Kingdom
116070,C546206,21231,SWEETHEART CERAMIC TRINKET BOX,-1,3/10/2011 11:15,1.25,13014.0,United Kingdom
116071,C546206,22064,PINK DOUGHNUT TRINKET POT ,-1,3/10/2011 11:15,1.65,13014.0,United Kingdom
116072,C546207,22423,REGENCY CAKESTAND 3 TIER,-1,3/10/2011 11:17,12.75,14211.0,United Kingdom
116073,C546207,22381,TOY TIDY PINK POLKADOT,-2,3/10/2011 11:17,2.1,14211.0,United Kingdom
116074,C546207,22302,COFFEE MUG PEARS  DESIGN,-1,3/10/2011 11:17,2.55,14211.0,United Kingdom
116075,C546208,21318,GLASS CHALICE BLUE SMALL ,-6,3/10/2011 11:19,1.65,12417.0,Belgium
116076,C546208,22168,ORGANISER WOOD ANTIQUE WHITE ,-1,3/10/2011 11:19,8.5,12417.0,Belgium
116077,C546209,85159B,"WHITE TEA,COFFEE,SUGAR JARS",-2,3/10/2011 11:31,4.4,15596.0,United Kingdom
116078,C546209,22667,RECIPE BOX RETROSPOT ,-6,3/10/2011 11:31,2.95,15596.0,United Kingdom
116079,C546210,22355,CHARLOTTE BAG SUKI DESIGN,-1,3/10/2011 11:31,0.85,14713.0,United Kingdom
116080,C546210,21272,SALLE DE BAIN HOOK,-1,3/10/2011 11:31,1.25,14713.0,United Kingdom
116081,C546211,22962,JAM JAR WITH PINK LID,-3,3/10/2011 11:32,0.85,15358.0,United Kingdom
116112,C546214,22499,WOODEN UNION JACK BUNTING,-1,3/10/2011 11:45,5.95,15724.0,United Kingdom
116156,C546217,23004,TRAVEL CARD WALLET PANTRY,-24,3/10/2011 12:04,0.42,14057.0,United Kingdom
116157,C546217,22995,TRAVEL CARD WALLET SUKI,-24,3/10/2011 12:04,0.42,14057.0,United Kingdom
116158,C546217,23006,TRAVEL CARD WALLET FLOWER MEADOW,-24,3/10/2011 12:04,0.42,14057.0,United Kingdom
116159,C546217,23002,TRAVEL CARD WALLET SKULLS,-24,3/10/2011 12:04,0.42,14057.0,United Kingdom
116160,C546217,23000,TRAVEL CARD WALLET TRANSPORT,-24,3/10/2011 12:04,0.42,14057.0,United Kingdom
116161,C546217,22994,TRAVEL CARD WALLET RETROSPOT,-24,3/10/2011 12:04,0.42,14057.0,United Kingdom
116162,C546217,22997,TRAVEL CARD WALLET UNION JACK,-24,3/10/2011 12:04,0.42,14057.0,United Kingdom
116248,C546234,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,-6,3/10/2011 12:31,2.95,13599.0,United Kingdom
116340,C546238,22727,ALARM CLOCK BAKELIKE RED ,-1,3/10/2011 12:58,3.75,13767.0,United Kingdom
116358,C546241,21899,"KEY FOB , GARAGE DESIGN",-18,3/10/2011 13:04,0.65,14903.0,United Kingdom
116406,546245,85185B,?,-259,3/10/2011 13:26,0.0,,United Kingdom
116609,C546256,20674,GREEN POLKADOT BOWL,-6,3/10/2011 14:56,1.25,15738.0,United Kingdom
116661,C546267,22046,TEA PARTY  WRAPPING PAPER ,-9,3/10/2011 15:02,0.42,15093.0,United Kingdom
116662,C546270,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-2,3/10/2011 15:03,4.95,17567.0,United Kingdom
116679,C546278,22841,ROUND CAKE TIN VINTAGE GREEN,-1,3/10/2011 15:06,7.95,13476.0,United Kingdom
116680,C546278,22424,ENAMEL BREAD BIN CREAM,-1,3/10/2011 15:06,12.75,13476.0,United Kingdom
116696,C546302,85040A,S/4 PINK FLOWER CANDLES IN BOWL,-1,3/10/2011 15:27,1.65,14214.0,United Kingdom
116697,C546302,21871,SAVE THE PLANET MUG,-1,3/10/2011 15:27,1.25,14214.0,United Kingdom
116930,C546313,22791,T-LIGHT GLASS FLUTED ANTIQUE,-3,3/10/2011 18:18,1.06,13094.0,United Kingdom
117026,C546320,22467,GUMBALL COAT RACK,-3,3/11/2011 9:39,2.55,12708.0,Germany
117027,C546320,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,-4,3/11/2011 9:39,1.65,12708.0,Germany
117032,C546323,22064,PINK DOUGHNUT TRINKET POT ,-2,3/11/2011 9:48,1.65,13975.0,United Kingdom
117033,C546323,22722,SET OF 6 SPICE TINS PANTRY DESIGN,-5,3/11/2011 9:48,3.95,13975.0,United Kingdom
117052,C546325,M,Manual,-1,3/11/2011 10:15,1687.17,14911.0,EIRE
117053,C546327,M,Manual,-1,3/11/2011 10:18,1687.17,14911.0,EIRE
117069,C546362,22423,REGENCY CAKESTAND 3 TIER,-1,3/11/2011 11:18,12.75,16419.0,United Kingdom
117070,C546363,22306,SILVER MUG BONE CHINA TREE OF LIFE,-12,3/11/2011 11:30,1.95,16912.0,United Kingdom
117071,C546363,POST,POSTAGE,-1,3/11/2011 11:30,7.06,16912.0,United Kingdom
117315,546379,72225C,,-82,3/11/2011 12:21,0.0,,United Kingdom
117660,C546395,21871,SAVE THE PLANET MUG,-1,3/11/2011 14:29,1.25,14214.0,United Kingdom
117705,C546400,21042,RED RETROSPOT APRON ,-2,3/11/2011 15:02,5.95,17994.0,United Kingdom
117706,C546400,47567B,TEA TIME KITCHEN APRON,-2,3/11/2011 15:02,5.95,17994.0,United Kingdom
117894,546407,22719,wrong barcode (22467),-178,3/11/2011 16:24,0.0,,United Kingdom
117896,546409,21833,damages,-110,3/11/2011 16:27,0.0,,United Kingdom
117992,C546416,22128,PARTY CONES CANDY ASSORTED,-2,3/13/2011 10:48,1.25,14800.0,United Kingdom
117993,C546416,21642,ASSORTED TUTTI FRUTTI PEN,-5,3/13/2011 10:48,0.85,14800.0,United Kingdom
117994,C546416,85098B,BLUE FLYING SINGING CANARY,-1,3/13/2011 10:48,3.75,14800.0,United Kingdom
118883,C546496,35810B,ENAMEL BLUE RIM COFFEE CONTAINER,-1,3/14/2011 11:44,0.83,17646.0,United Kingdom
118884,C546496,22928,YELLOW GIANT GARDEN THERMOMETER,-1,3/14/2011 11:44,5.95,17646.0,United Kingdom
118885,C546496,22927,GREEN GIANT GARDEN THERMOMETER,-1,3/14/2011 11:44,5.95,17646.0,United Kingdom
118886,C546501,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-2,3/14/2011 11:45,4.95,12584.0,Italy
118954,C546507,22914,BLUE COAT RACK PARIS FASHION,-1,3/14/2011 11:47,4.95,12712.0,Germany
118955,C546507,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,-4,3/14/2011 11:47,8.5,12712.0,Germany
118956,C546507,82494L,WOODEN FRAME ANTIQUE WHITE ,-2,3/14/2011 11:47,2.95,12712.0,Germany
119001,C546511,22801,ANTIQUE GLASS PEDESTAL BOWL,-1,3/14/2011 12:19,3.75,12921.0,United Kingdom
119002,C546517,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-1,3/14/2011 12:24,6.95,15308.0,United Kingdom
119003,C546517,22406,MONEY BOX KINGS CHOICE DESIGN,-1,3/14/2011 12:24,1.25,15308.0,United Kingdom
119004,C546519,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,3/14/2011 12:27,2.95,14350.0,United Kingdom
119005,C546519,84559B,3D SHEET OF CAT STICKERS,-4,3/14/2011 12:27,0.85,14350.0,United Kingdom
119006,C546519,84459A,PINK METAL CHICKEN HEART ,-12,3/14/2011 12:27,1.49,14350.0,United Kingdom
119147,C546529,22502,PICNIC BASKET WICKER SMALL,-1,3/14/2011 13:05,5.95,15502.0,United Kingdom
119148,C546529,22764,"RUSTIC WOODEN CABINET, GLASS DOORS",-1,3/14/2011 13:05,24.95,15502.0,United Kingdom
119234,C546535,47566B,TEA TIME PARTY BUNTING,-1,3/14/2011 14:11,4.25,15502.0,United Kingdom
119235,C546536,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",-1,3/14/2011 14:28,12.75,15493.0,United Kingdom
119510,C546548,22147,FELTCRAFT BUTTERFLY HEARTS,-1,3/14/2011 16:42,1.45,16518.0,United Kingdom
119511,C546548,22150,3 STRIPEY MICE FELTCRAFT,-1,3/14/2011 16:42,1.95,16518.0,United Kingdom
119556,546551,84563A,,-10,3/14/2011 17:33,0.0,,United Kingdom
119631,C546557,M,Manual,-1,3/15/2011 9:44,2583.76,,Hong Kong
119633,C546559,84978,HANGING HEART JAR T-LIGHT HOLDER,-12,3/15/2011 10:24,1.25,12727.0,France
119806,C546623,21556,CERAMIC STRAWBERRY MONEY BOX,-1,3/15/2011 11:36,2.55,17954.0,United Kingdom
120004,C546641,22180,RETROSPOT LAMP,-6,3/15/2011 13:01,9.95,13451.0,United Kingdom
120059,C546645,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,-12,3/15/2011 13:32,7.65,15311.0,United Kingdom
120081,C546647,22832,BROCANTE SHELF WITH HOOKS,-1,3/15/2011 13:55,10.75,17419.0,United Kingdom
120580,546661,22777,,-25,3/15/2011 14:33,0.0,,United Kingdom
120590,C546664,22504,CABIN BAG VINTAGE RETROSPOT,-1,3/15/2011 14:41,29.95,16061.0,United Kingdom
120761,C546671,22423,REGENCY CAKESTAND 3 TIER,-1,3/15/2011 15:42,10.95,15215.0,United Kingdom
120762,546672,85206A,,-77,3/15/2011 15:47,0.0,,United Kingdom
120846,C546680,21942,SKULLS DESIGN FLANNEL,-12,3/15/2011 16:51,0.85,13121.0,United Kingdom
120847,C546680,21391,FRENCH LAVENDER SCENT HEART,-3,3/15/2011 16:51,2.1,13121.0,United Kingdom
120848,C546680,21114,LAVENDER SCENTED FABRIC HEART,-10,3/15/2011 16:51,1.25,13121.0,United Kingdom
121071,C546730,21937,STRAWBERRY   PICNIC BAG,-2,3/16/2011 11:39,2.95,18183.0,United Kingdom
121072,C546730,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,3/16/2011 11:39,4.95,18183.0,United Kingdom
121098,C546735,22933,BAKING MOULD EASTER EGG MILK CHOC,-144,3/16/2011 11:50,2.1,16029.0,United Kingdom
121099,C546735,22932,BAKING MOULD TOFFEE CUP CHOCOLATE,-96,3/16/2011 11:50,2.1,16029.0,United Kingdom
121100,C546735,22930,BAKING MOULD HEART MILK CHOCOLATE,-96,3/16/2011 11:50,2.1,16029.0,United Kingdom
121184,C546740,21455,PAINTED YELLOW WOODEN DAISY,-13,3/16/2011 12:13,0.85,16983.0,United Kingdom
121360,546756,79067,,-5,3/16/2011 13:31,0.0,,United Kingdom
121368,C546758,22212,FOUR HOOK  WHITE LOVEBIRDS,-1,3/16/2011 13:47,2.1,,United Kingdom
121562,C546773,22941,CHRISTMAS LIGHTS 10 REINDEER,-2,3/16/2011 15:42,8.5,14505.0,United Kingdom
121563,C546773,22942,CHRISTMAS LIGHTS 10 SANTAS ,-2,3/16/2011 15:42,8.5,14505.0,United Kingdom
121675,C546777,84978,HANGING HEART JAR T-LIGHT HOLDER,-2,3/16/2011 16:23,1.06,17080.0,United Kingdom
121777,C546783,22801,ANTIQUE GLASS PEDESTAL BOWL,-1,3/17/2011 9:32,3.75,12924.0,United Kingdom
122197,C546854,20726,LUNCH BAG WOODLAND,-1,3/17/2011 13:55,1.45,17511.0,United Kingdom
122198,C546854,21564,PINK  HEART SHAPE LOVE BUCKET ,-1,3/17/2011 13:55,2.55,17511.0,United Kingdom
122199,C546854,21232,STRAWBERRY CERAMIC TRINKET BOX,-10,3/17/2011 13:55,1.06,17511.0,United Kingdom
122200,C546854,22960,JAM MAKING SET WITH JARS,-1,3/17/2011 13:55,3.75,17511.0,United Kingdom
